Column1,Column2,Column3
1,2,0.249954381
1,3,0.070440118
1,4,0.044157711
1,5,0.034229379
1,6,0.049407464
1,7,0.024226772
1,8,0.033581834
1,9,0.032981776
1,10,0.054490556
1,11,0.020228988
1,12,0.015171725
1,13,0.048286594
1,14,0.020352563
1,15,0.016958253
1,16,0.014525711
1,17,0.02127804
1,18,0.026502198
1,19,0.010980031
1,20,0.007845212
1,21,0.006918411
1,22,0.003235881
1,23,0.014294671
1,24,0.01292498
1,25,0.004094322
1,26,0.003283441
1,27,0.001211785
1,28,0.003761745
1,29,0.003621301
1,30,0.003998131
1,31,0.005973786
1,32,0.00917143
1,33,0.012348331
1,34,0.005619152
1,35,0.003051562
1,36,0.003995464
1,37,0.003032841
1,38,0.000586702
1,39,0.001432125
2,3,0.185905971
2,4,0.225485622
2,5,0.104997262
2,6,0.13094127
2,7,0.040582058
2,8,0.073117859
2,9,0.052831302
2,10,0.166985137
2,11,0.032090712
2,12,0.025811566
2,13,0.022429015
2,14,0.023161968
2,15,0.019797551
2,16,0.01814276
2,17,0.035099824
2,18,0.026856038
2,19,0.012460779
2,20,0.006932706
2,21,0.006485009
2,22,0.004303973
2,23,0.012807106
2,24,0.0135434
2,25,0.002350733
2,26,0.000998009
2,27,0.003455701
2,28,0.005945688
2,29,0.005373345
2,30,0.007256156
2,31,0.017962027
2,32,0.011811766
2,33,0.010983814
2,34,0.003198996
2,35,0.000965497
2,36,0.000409691
2,37,0.000514258
2,38,0.000141514
2,39,0.002734047
3,4,0.343689637
3,5,0.326617084
3,6,0.5135657
3,7,0.025307695
3,8,0.04859102
3,9,0.072286718
3,10,0.070587166
3,11,0.013219647
3,12,0.010374953
3,13,0.012926662
3,14,0.009999914
3,15,0.013825452
3,16,0.011470733
3,17,0.015768353
3,18,0.014947542
3,19,0.003238525
3,20,0.00512992
3,21,0.003738486
3,22,0.00273697
3,23,0.00844922
3,24,0.003971859
3,25,0.011454877
3,26,0.006127598
3,27,0.009767765
3,28,0.001630641
3,29,0.002083645
3,30,0.002483473
3,31,0.005497949
3,32,0.00622728
3,33,0.013362668
3,34,0.003720182
3,35,0.002395596
3,36,0.002861591
3,37,0.001564228
3,38,0.000335304
3,39,0.002149113
4,5,0.466441405
4,6,0.548722847
4,7,0.068522131
4,8,0.141444228
4,9,0.122562448
4,10,0.070648813
4,11,0.018995103
4,12,0.022309393
4,13,0.030118718
4,14,0.022880152
4,15,0.025357663
4,16,0.024671214
4,17,0.02510022
4,18,0.026196169
4,19,0.005998902
4,20,0.008208804
4,21,0.005925466
4,22,0.007120948
4,23,0.012491365
4,24,0.010359232
4,25,0.001693821
4,26,0.001138398
4,27,0
4,28,0.003875615
4,29,0.007096785
4,30,0.008276643
4,31,0.019367218
4,32,0.011995103
4,33,0.02269287
4,34,0.001479862
4,35,0.000607088
4,36,0.000407973
4,37,0.002179
4,38,0.000347417
4,39,0.000930476
5,6,0.630771655
5,7,0.050380379
5,8,0.107464922
5,9,0.20668958
5,10,0.132967863
5,11,0.030900362
5,12,0.03458322
5,13,0.031639177
5,14,0.018188807
5,15,0.021492498
5,16,0.01892417
5,17,0.02092682
5,18,0.027044759
5,19,0.011684929
5,20,0.009220084
5,21,0.006823827
5,22,0.00974848
5,23,0.016200607
5,24,0.014027998
5,25,0.000345236
5,26,0.000646145
5,27,0.000590312
5,28,0.002605661
5,29,0.009030129
5,30,0.009577096
5,31,0.012705241
5,32,0.01840836
5,33,0.035144217
5,34,0.001715679
5,35,0.001203629
5,36,0.000350229
5,37,0.001824584
5,38,0.00023114
5,39,0.001035059
6,7,0.053009894
6,8,0.107567259
6,9,0.2038197
6,10,0.142916403
6,11,0.025570008
6,12,0.027267933
6,13,0.030197673
6,14,0.017343989
6,15,0.022593186
6,16,0.023093702
6,17,0.022027571
6,18,0.033478842
6,19,0.010049082
6,20,0.009088394
6,21,0.007364828
6,22,0.00961007
6,23,0.017176515
6,24,0.012922092
6,25,0.003782384
6,26,0.007513475
6,27,0.003124044
6,28,0.002469976
6,29,0.008841759
6,30,0.009490402
6,31,0.014019512
6,32,0.017036297
6,33,0.038209948
6,34,0.003479311
6,35,0.002105015
6,36,0.000462787
6,37,0.001957696
6,38,0.00077449
6,39,0.001212015
7,8,0.323113207
7,9,0.094106903
7,10,0.046507904
7,11,0.019607187
7,12,0.056571149
7,13,0.019973822
7,14,0.022405333
7,15,0.020973389
7,16,0.01696578
7,17,0.017664077
7,18,0.021021689
7,19,0.008938686
7,20,0.007940557
7,21,0.005542608
7,22,0.003175126
7,23,0.00706322
7,24,0.009536097
7,25,0.000248795
7,26,0
7,27,0
7,28,0.003676096
7,29,0.003214368
7,30,0.005557001
7,31,0.004782524
7,32,0.006885248
7,33,0.013041031
7,34,0.000459706
7,35,0.001021529
7,36,0.000366629
7,37,0.001251229
7,38,0.001633989
7,39,0.000731961
8,9,0.395828565
8,10,0.261683271
8,11,0.185231375
8,12,0.256875749
8,13,0.022422529
8,14,0.020171716
8,15,0.021352715
8,16,0.01955108
8,17,0.024926337
8,18,0.021828597
8,19,0.006762909
8,20,0.005752436
8,21,0.005243732
8,22,0.004038003
8,23,0.00699412
8,24,0.006076643
8,25,0
8,26,0
8,27,0.000161579
8,28,0.003076711
8,29,0.003589552
8,30,0.003536509
8,31,0.003648344
8,32,0.026659563
8,33,0.004539871
8,34,0.000874739
8,35,0.001786212
8,36,0.001537027
8,37,0.002416982
8,38,0.001514169
8,39,0.001291967
9,10,0.487323072
9,11,0.314493813
9,12,0.368285591
9,13,0.022034996
9,14,0.012159455
9,15,0.021727227
9,16,0.018816941
9,17,0.017487895
9,18,0.030873252
9,19,0.022453185
9,20,0.006285368
9,21,0.004020676
9,22,0.008330577
9,23,0.01001518
9,24,0.005423603
9,25,0.002300577
9,26,0.002287493
9,27,0.002050603
9,28,0.000589064
9,29,0.000966092
