Column1,Column2,Column3
1,2,0.253822031
1,3,0.092307696
1,4,0.070265801
1,5,0.058273491
1,6,0.073488326
1,7,0.046404219
1,8,0.054809321
1,9,0.060919779
1,10,0.073317016
1,11,0.032694964
1,12,0.02901454
1,13,0.063328872
1,14,0.036967896
1,15,0.036880332
1,16,0.030897577
1,17,0.042112137
1,18,0.043964046
1,19,0.027684286
1,20,0.021382466
1,21,0.018133837
1,22,0.01562561
1,23,0.028814847
1,24,0.024964715
1,25,0.016605523
1,26,0.01447013
1,27,0.010719219
1,28,0.008294959
1,29,0.009857058
1,30,0.01439671
1,31,0.022098151
1,32,0.016270695
1,33,0.026429184
1,34,0.007766389
1,35,0.006162021
1,36,0.006732872
1,37,0.00539362
1,38,0.003909242
1,39,0.003679458
2,3,0.194883646
2,4,0.232148441
2,5,0.123211384
2,6,0.147875648
2,7,0.063178002
2,8,0.096113966
2,9,0.078643286
2,10,0.176310559
2,11,0.044805563
2,12,0.039191382
2,13,0.043359453
2,14,0.039364394
2,15,0.041789834
2,16,0.035082882
2,17,0.056001199
2,18,0.046631942
2,19,0.023803786
2,20,0.016932122
2,21,0.016504346
2,22,0.015520788
2,23,0.024978777
2,24,0.023774158
2,25,0.013248211
2,26,0.009820464
2,27,0.009889458
2,28,0.009790846
2,29,0.010871806
2,30,0.016647278
2,31,0.030438318
2,32,0.017437605
2,33,0.02541837
2,34,0.005800081
2,35,0.004688015
2,36,0.002489908
2,37,0.002979577
2,38,0.003578412
2,39,0.005256701
3,4,0.341461393
3,5,0.326615597
3,6,0.497294937
3,7,0.041565789
3,8,0.067041146
3,9,0.089443116
3,10,0.085472274
3,11,0.024382882
3,12,0.020578848
3,13,0.02880222
3,14,0.025077193
3,15,0.029487364
3,16,0.025055122
3,17,0.032304149
3,18,0.030684673
3,19,0.012202794
3,20,0.011951147
3,21,0.012492654
3,22,0.011724857
3,23,0.016916738
3,24,0.0108162
3,25,0.022159756
3,26,0.017731447
3,27,0.017295373
3,28,0.005289954
3,29,0.007172491
3,30,0.012859038
3,31,0.019943906
3,32,0.011351306
3,33,0.024933623
3,34,0.006366585
3,35,0.005066149
3,36,0.004925591
3,37,0.00326318
3,38,0.00303999
3,39,0.004179462
4,5,0.452981813
4,6,0.53005865
4,7,0.091179578
4,8,0.160388591
4,9,0.142075529
4,10,0.092417656
4,11,0.033756971
4,12,0.037076886
4,13,0.050713774
4,14,0.041988448
4,15,0.04935628
4,16,0.04245987
4,17,0.046007701
4,18,0.045400036
4,19,0.017137368
4,20,0.015944563
4,21,0.014973075
4,22,0.016385149
4,23,0.022070263
4,24,0.017339331
4,25,0.010245505
4,26,0.009722088
4,27,0.007569451
4,28,0.008243502
4,29,0.013367908
4,30,0.019055415
4,31,0.03216892
4,32,0.017537284
4,33,0.034420306
4,34,0.003647233
4,35,0.00214273
4,36,0.002297873
4,37,0.004132809
4,38,0.002132461
4,39,0.003352616
5,6,0.601907864
5,7,0.07218663
5,8,0.125458849
5,9,0.215948268
5,10,0.145786781
5,11,0.044116391
5,12,0.0476387
5,13,0.047301625
5,14,0.034081722
5,15,0.042269039
5,16,0.036415694
5,17,0.038507987
5,18,0.04626496
5,19,0.022729316
5,20,0.019722473
5,21,0.016358886
5,22,0.018684677
5,23,0.024829537
5,24,0.020998359
5,25,0.008727976
5,26,0.006976371
5,27,0.007469254
5,28,0.006407868
5,29,0.014466111
5,30,0.020567092
5,31,0.027692451
5,32,0.023074848
5,33,0.047833736
5,34,0.005614512
5,35,0.00407984
5,36,0.002657947
5,37,0.00672277
5,38,0.003238519
5,39,0.003230448
6,7,0.074357779
6,8,0.124271693
6,9,0.213417055
6,10,0.158333072
6,11,0.039909232
6,12,0.041410251
6,13,0.046076249
6,14,0.035238377
6,15,0.044234261
6,16,0.039739495
6,17,0.039744347
6,18,0.052488205
6,19,0.021735909
6,20,0.018650264
6,21,0.016449164
6,22,0.018968311
6,23,0.02705406
6,24,0.020943923
6,25,0.015953046
6,26,0.016751724
6,27,0.013301886
6,28,0.005957285
