Column1,Column2,Column3
1,2,0.468507279
1,3,0.017657345
1,4,0.016198128
1,5,0.017379726
1,6,0.012768732
1,7,0.022358384
1,8,0.022454646
1,9,0.040600516
1,10,0.015500399
1,11,0.03735142
1,12,0.017466207
1,13,0.009494496
1,14,0.019722593
1,15,0.028570151
1,16,0.019091865
1,17,0.02046962
1,18,0.028897422
1,19,0.014437297
1,20,0.016689268
1,21,0.011283025
1,22,0.008807057
1,23,0.013811731
1,24,0.011989404
1,25,0.00698337
1,26,0.005171471
1,27,0.005575185
1,28,0.00948454
1,29,0.008347489
1,30,0.010514799
1,31,0.005099556
1,32,0.0034113
1,33,0.009099726
1,34,0.003675738
1,35,0.005328407
1,36,0.003715462
1,37,0.004057345
1,38,0.002224123
1,39,0.00762698
2,3,0.025854041
2,4,0.016246478
2,5,0.013311259
2,6,0.014425814
2,7,0.007769366
2,8,0.025519677
2,9,0.018875877
2,10,0.023193148
2,11,0.015750585
2,12,0.021596474
2,13,0.013815102
2,14,0.02825567
2,15,0.024612905
2,16,0.030295478
2,17,0.018343652
2,18,0.040413056
2,19,0.01319843
2,20,0.009399425
2,21,0.019708654
2,22,0.010987096
2,23,0.011592117
2,24,0.011351738
2,25,0.007062499
2,26,0.004782838
2,27,0.002245805
2,28,0.015943651
2,29,0.010673065
2,30,0.007726199
2,31,0.005460263
2,32,0.00471872
2,33,0.011674208
2,34,0.003822288
2,35,0.005719981
2,36,0.003616321
2,37,0.001060261
2,38,0.002859111
2,39,0.002105692
3,4,0.025812335
3,5,0.011777493
3,6,0.018915397
3,7,0.015889003
3,8,0.030429298
3,9,0.042140771
3,10,0.008262038
3,11,0.021870031
3,12,0.011523228
3,13,0.020530509
3,14,0.019514024
3,15,0.030524096
3,16,0.016365072
3,17,0.023407376
3,18,0.021658802
3,19,0.014457148
3,20,0.021336138
3,21,0.010449658
3,22,0.014829173
3,23,0.016589932
3,24,0.014382628
3,25,0.017165217
3,26,0.012858698
3,27,0.010144368
3,28,0.01473266
3,29,0.010123858
3,30,0.014163118
3,31,0.0234422
3,32,0.007815145
3,33,0.011346281
3,34,0.004413975
3,35,0.005497017
3,36,0.001996768
3,37,0.00582276
3,38,0.003816656
3,39,0.006274955
4,5,0.019887064
4,6,0.036230683
4,7,0.02619988
4,8,0.021921968
4,9,0.034717808
